Fecha;Risk_Free;;;
15/02/2023;11.8556;;;
14/02/2023;11.6648;;;
13/02/2023;11.5924;;;
10/02/2023;11.568;;;
9/02/2023;11.3017;;;
8/02/2023;11.3734;;;
7/02/2023;11.0638;;;
6/02/2023;11.158;;;
3/02/2023;11.0841;;;
2/02/2023;11.1875;;;
1/02/2023;11.3498;;;
31/01/2023;11.5587;;;
30/01/2023;11.5992;;;
27/01/2023;11.5135;;;
26/01/2023;11.3945;;;
25/01/2023;11.4098;;;
24/01/2023;11.5065;;;
23/01/2023;11.8729;;;
20/01/2023;11.6848;;;
19/01/2023;11.7192;;;
18/01/2023;11.6818;;;
17/01/2023;11.63;;;
16/01/2023;11.1977;;;
13/01/2023;11.4287;;;
12/01/2023;11.5963;;;
11/01/2023;12.0404;;;
10/01/2023;12.4645;;;
9/01/2023;12.5762;;;
6/01/2023;12.5756;;;
5/01/2023;12.6931;;;
4/01/2023;12.6779;;;
3/01/2023;12.6339;;;
2/01/2023;12.5517;;;
30/12/2022;12.2952;;;
29/12/2022;12.2952;;;
28/12/2022;12.3023;;;
27/12/2022;12.2644;;;
26/12/2022;12.1711;;;
23/12/2022;12.0317;;;
22/12/2022;12.1031;;;
21/12/2022;12.2091;;;
20/12/2022;12.1517;;;
19/12/2022;12.2836;;;
16/12/2022;12.1611;;;
15/12/2022;12.2499;;;
14/12/2022;12.3783;;;
13/12/2022;12.331;;;
12/12/2022;12.5559;;;
9/12/2022;12.171;;;
8/12/2022;11.9248;;;
7/12/2022;11.9246;;;
6/12/2022;11.7992;;;
5/12/2022;11.6959;;;
2/12/2022;11.5441;;;
1/12/2022;11.964;;;
30/11/2022;12.3508;;;
29/11/2022;12.3389;;;
28/11/2022;12.5498;;;
25/11/2022;12.5882;;;
24/11/2022;12.1907;;;
23/11/2022;12.3182;;;
22/11/2022;12.5117;;;
21/11/2022;12.6741;;;
18/11/2022;12.6648;;;
17/11/2022;12.8586;;;
16/11/2022;12.5711;;;
15/11/2022;12.4784;;;
14/11/2022;12.7293;;;
11/11/2022;12.7291;;;
10/11/2022;12.7189;;;
9/11/2022;13.0501;;;
8/11/2022;13.1689;;;
7/11/2022;13.4225;;;
4/11/2022;13.4227;;;
3/11/2022;13.4216;;;
2/11/2022;13.3352;;;
1/11/2022;13.3313;;;
31/10/2022;13.0302;;;
28/10/2022;12.9954;;;
27/10/2022;13.1903;;;
26/10/2022;12.8333;;;
25/10/2022;13.4159;;;
24/10/2022;13.8003;;;
21/10/2022;14.0306;;;
20/10/2022;14.3471;;;
19/10/2022;13.5364;;;
18/10/2022;13.3172;;;
17/10/2022;13.6751;;;
14/10/2022;13.6738;;;
13/10/2022;12.8805;;;
12/10/2022;12.7815;;;
11/10/2022;12.5789;;;
10/10/2022;12.5197;;;
7/10/2022;12.478;;;
6/10/2022;12.4357;;;
5/10/2022;12.1557;;;
4/10/2022;11.9926;;;
3/10/2022;12.015;;;
30/09/2022;12.1261;;;
29/09/2022;12.126;;;
28/09/2022;12.0289;;;
27/09/2022;12.0053;;;
26/09/2022;11.9925;;;
23/09/2022;11.7422;;;
22/09/2022;11.7088;;;
21/09/2022;11.6355;;;
20/09/2022;11.6387;;;
19/09/2022;11.5304;;;
16/09/2022;11.7509;;;
15/09/2022;11.8012;;;
14/09/2022;11.8744;;;
13/09/2022;11.848;;;
12/09/2022;11.8004;;;
9/09/2022;11.6568;;;
8/09/2022;11.5975;;;
7/09/2022;11.5776;;;
6/09/2022;11.7125;;;
5/09/2022;11.5448;;;
2/09/2022;11.4863;;;
1/09/2022;11.5186;;;
31/08/2022;11.4401;;;
30/08/2022;11.4404;;;
29/08/2022;11.4093;;;
